benchmark,calme-3.2-instruct-78b,calme-3.1-instruct-78b,CalmeRys-78B-Orpo-v0.1,calme-2.4-rys-78b,Qwen2.5-72B-Instruct-abli,Qwen2.5-72B-Instruct,calme-2.1-qwen2.5-72b,Homer-v1.0-Qwen2.5-72B,qwen2.5-test-32b-it,Linkbricks-Horizon-AI-Ave,calme-2.2-qwen2.5-72b,FluentlyLM-Prinum,T3Q-qwen2.5-14b-v1.0-e3,T3Q-Qwen2.5-14B-Instruct-,Qwen2.5-32B-Instruct-abli,Gilgamesh-72B,ultiima-72B,zetasepic-abliteratedV2-Q,Awqward2.5-32B-Instruct,test-2.5-72B,shuttle-3,Qwen2.5-32B-Instruct,Mistral-Large-Instruct-24,Rombos-LLM-V2.5-Qwen-72b,Linkbricks-Horizon-AI-Ave,Qwen2.5-72B-Instruct-abli,Linkbricks-Horizon-AI-Ave,lambda-qwen2.5-32b-dpo-te,Qwentile2.5-32B-Instruct,Rombos-LLM-V2.5-Qwen-32b,openbuddy-llama3.3-70b-v2,Linkbricks-Horizon-AI-Ave,huihui-ai-abliterated-Qwe,Linkbricks-Horizon-AI-Ave,ultiima-32B,RYS-XLarge,Qwen2.5-95B-Instruct,ultiima-72B-v1.5,sky-t1-coder-32b-flash,Llama-3.3-70B-Instruct,RomboUltima-32B,calme-2.1-rys-78b,calme-2.3-rys-78b,calme-2.1-qwen2-72b,calme-2.2-rys-78b,MG-FinalMix-72B,EVA-Qwen2.5-72B-v0.2,Qwen2-72B-Orpo-v0.1,RYS-XLarge-base,calme-2.2-qwen2-72b,Arcee-Nova,L3.3-MS-Nevoria-70b,Set-70b,QwentileSwap,li-14b-v0.4,tempmotacilla-cinerea-030,L3.3-Nevoria-R1-70b,Qwen2-72B-Instruct,Galactic-Qwen-14B-Exp2,BigQwen2.5-52B-Instruct,Llama-3.1-SauerkrautLM-70,Llama-3.1-70B-Instruct,Dracarys-72B-Instruct,Linkbricks-Horizon-AI-Ave,Lamarckvergence-14B,Lix-14B-v0.1,calme-2.2-llama3.1-70b,NQLSG-Qwen2.5-14B-MegaFus,calme-2.3-llama3.1-70b,NQLSG-Qwen2.5-14B-MegaFus,orca_mini_v8_1_70b,Apollo-70B,ZYH-LLM-Qwen2.5-14B-V4,NQLSG-Qwen2.5-14B-MegaFus,Progenitor-V1.1-LLaMa-70B,70B-L3.3-Cirrus-x1,magnum-v1-72b,magnum-72b-v1,lamarckvergence-14b-tenso,li-14b-v0.4-slerp0.1,miscii-14b-0218,Cheng-2,NQLSG-Qwen2.5-14B-MegaFus,Llama3.3-70B-CogniLink,tempesthenno-ppo-ckpt40,RYS-Llama3.1-Large,virtuoso-small-v2-tensopo,Cheng-2-v1.1,RombosBeagle-v2beta-MGS-3,TheBeagle-v2beta-32B-MGS,lambda-qwen2.5-14b-dpo-te,tempesthenno-nuslerp-001,Qwen2.5-14B-1M-YOYO-V3,Josiefied-Qwen2.5-14B-Ins,NQLSG-Qwen2.5-14B-MegaFus,Q2.5-Veltha-14B,ECE-ILAB-Q1,Virtuoso-Small-v2,Qwen2.5-14B-YOYO-V4-p1,Chocolatine-14B-Instruct-
ifeval,80.62607215521483,81.35547015252862,81.6327344778521,80.10899967641413,85.92667455684251,86.3837949972739,86.62360315075111,76.27716680629618,78.89499860370483,79.71681804279312,84.76763875406145,80.9033364805383,73.2396707403024,73.2396707403024,83.34131216283905,84.86006019583593,71.4012154416947,83.28136012446973,82.54697535871487,84.37047035199936,81.5403130360776,83.46121623957765,84.00577135334247,71.5535889218385,82.48702332034557,71.52610628687438,82.08985491828349,80.83839767372794,73.93161256576994,68.26631116548536,81.2080834408259,75.15558717536138,82.06237228331938,76.30963620970138,68.54357549080883,79.95662619627035,84.31051831363006,65.49610588793291,77.80090160773415,89.97581971391463,66.71509372908326,81.35547015252862,80.65854155862002,81.62774770941103,79.86420475449586,80.13648231137824,68.78837041272712,78.79759039348927,79.10233735377686,80.08151704145003,79.07485471881274,69.63268571833845,76.42954028643999,73.78422585406722,81.32798751756451,80.84837121061007,60.23794642659256,79.89168738945996,66.20300801872366,79.13480675718205,86.56365111238182,86.6885419575615,78.55778224001206,79.56444456264933,76.55941790006072,78.13313120298585,85.92667455684251,80.02655177152178,86.04657863358113,78.62272104682242,85.7143490383294,50.9856070781083,83.64605912312663,78.74761189200211,69.06064796960952,66.80751517085777,76.06484128778308,76.06484128778308,76.03735865281897,79.22722819895654,76.55941790006072,83.37378156624423,78.74761189200211,69.31042965996889,79.23221496739761,84.92001223420525,84.19061423689145,82.69934883885867,51.567618363719376,51.8074265171966,82.31215397367873,79.2646843708028,83.98327548681942,82.91666112581285,79.93413032974729,82.91666112581285,78.64521691334548,82.73181824226387,82.03488964835526,70.39953988749849
bbh,62.6094432829016,62.40968270370106,61.92476379259157,62.15654929467119,60.48786941269388,61.87325566878789,61.65570318314716,62.27406507872839,58.28330738049858,57.63392862080288,61.80360419146786,59.48220341842799,65.46659667305961,65.46659667305961,56.53381848053764,61.83602130504769,61.10313258693403,56.82740697772572,57.20733868173476,62.1541268705062,64.05301565117443,56.48934826159387,52.7448919952634,61.26714504573664,56.52792400025388,59.912975835046495,56.18657609330364,54.40796058706255,57.20587763688364,58.26189408678741,54.14664796972127,56.67538301839144,56.04478184089901,56.552203892922165,58.112446786765965,58.77356748233938,58.530351322851054,63.438206058920265,55.46594372212499,56.561410788022194,56.67376969863417,59.4700307859535,59.57454695904105,57.3258823447103,59.268645675184494,57.502411706281976,59.0667326828602,57.41436351018751,58.69214607657639,56.79594225047665,56.74098753952074,56.60264873723427,56.88003115055037,57.67565555333628,50.384177102490106,50.59894860885105,56.16728833047952,57.48300911876294,59.91731650130399,59.80960695923371,57.24162100868165,55.92799173898473,56.93552010003367,58.07744907944319,50.32923622182769,51.473725053502925,54.20646208605566,50.73787805937095,55.58549511699308,50.455174757059126,53.51972670972081,53.528405173016914,50.26935344231426,49.91009317302106,56.24697023586278,57.13231216638128,57.65318485514271,57.65318485514271,50.983494714854295,50.88127296750732,50.6445656375432,49.97518634878575,49.0341381962539,52.12466257626164,50.57317166167434,55.41486404819653,50.96603012167689,50.248143037694966,58.117898971791085,58.0279762011676,48.45443982860533,51.04491084341287,49.46606980733037,48.05226992969286,49.94686965422407,49.75243239928858,53.70222770817057,50.94799062781783,50.24542053284919,54.84648579293099
math,40.33232628398791,39.27492447129909,40.6344410876133,40.70996978851964,60.12084592145015,59.818731117824775,59.13897280966768,49.01812688821752,59.74320241691843,60.27190332326284,58.91238670694864,54.003021148036254,28.625377643504528,28.625377643504528,59.5166163141994,43.80664652567976,53.54984894259819,58.53474320241692,62.31117824773413,41.08761329305136,45.99697885196375,62.53776435045317,49.546827794561935,54.229607250755286,61.78247734138973,52.41691842900303,62.2356495468278,61.027190332326285,52.19033232628399,49.546827794561935,44.10876132930513,54.607250755287005,59.44108761329305,53.625377643504535,49.62235649546828,42.522658610271904,53.02114803625378,43.957703927492446,54.229607250755286,48.338368580060425,53.85196374622356,39.42598187311178,39.80362537764351,40.78549848942598,40.70996978851964,39.72809667673716,43.126888217522655,40.55891238670695,37.91540785498489,45.31722054380665,43.80664652567976,39.57703927492447,36.40483383685801,42.220543806646525,55.740181268882175,55.51359516616314,46.299093655589125,41.76737160120846,34.74320241691843,54.7583081570997,36.933534743202415,38.06646525679759,39.65256797583081,56.64652567975831,54.003021148036254,52.94561933534743,43.65558912386707,54.68277945619335,39.27492447129909,53.32326283987915,35.27190332326284,56.11782477341389,53.92749244712991,54.0785498489426,35.725075528700906,37.38670694864049,39.80362537764351,39.80362537764351,51.66163141993958,53.32326283987915,51.43504531722054,54.38066465256798,55.58912386706949,41.389728096676734,47.35649546827795,35.04531722054381,45.2416918429003,53.92749244712991,49.92447129909365,49.47129909365559,54.607250755287005,47.583081570996974,53.54984894259819,54.229607250755286,53.70090634441088,47.88519637462236,35.57401812688822,46.6012084592145,53.32326283987915,56.19335347432024
gpqa,20.3579418344519,19.463087248322143,20.02237136465324,20.3579418344519,19.35123042505593,16.666666666666664,15.100671140939594,22.14765100671141,15.212527964205815,14.988814317673372,14.5413870246085,18.232662192393736,22.259507829977636,22.259507829977636,15.659955257270694,19.239373601789712,21.923937360178968,15.659955257270694,12.080536912751676,18.568232662192397,21.588366890380318,11.74496644295302,24.94407158836689,19.798657718120808,11.74496644295302,20.917225950783,11.297539149888143,14.205816554809845,17.897091722595075,19.57494407158837,24.608501118568235,14.093959731543624,11.85682326621924,14.87695749440716,17.4496644295302,17.897091722595075,15.212527964205815,21.81208053691276,15.771812080536916,10.514541387024613,16.21923937360179,19.239373601789712,20.581655480984335,17.4496644295302,20.917225950783,18.008948545861294,21.14093959731544,17.897091722595075,17.225950782997764,16.554809843400445,18.008948545861294,29.418344519015665,26.174496644295303,15.659955257270694,11.85682326621924,14.988814317673372,29.194630872483216,16.33109619686801,19.910514541387023,6.935123042505594,12.192393736017896,14.205816554809845,18.791946308724835,2.1252796420581683,15.100671140939594,15.99552572706935,9.955257270693512,12.416107382550338,12.527964205816552,14.093959731543624,24.384787472035796,27.628635346756152,8.612975391498878,13.534675615212524,27.740492170022367,26.62192393736018,18.791946308724835,18.791946308724835,14.76510067114094,14.5413870246085,17.785234899328863,12.751677852348994,11.409395973154364,26.062639821029084,17.00223713646532,16.554809843400445,12.863534675615217,12.416107382550338,17.337807606263986,17.67337807606264,14.988814317673372,16.442953020134222,10.514541387024613,12.304250559284116,10.626398210290828,14.5413870246085,18.232662192393736,13.758389261744966,12.751677852348994,12.192393736017896
musr,38.52890624999999,36.49947916666666,36.37213541666666,34.56614583333333,12.342187500000003,11.742187500000004,13.297135416666665,17.89947916666667,19.1265625,18.155989583333334,12.016666666666673,17.259895833333335,38.688020833333326,38.688020833333326,14.928385416666664,17.664062499999996,18.115104166666665,14.224479166666663,13.86953125,20.515104166666664,14.64427083333333,13.498958333333327,17.216666666666665,17.322916666666668,13.832291666666665,19.122916666666665,13.661718749999997,13.328385416666665,19.96197916666667,24.727083333333336,22.265885416666663,20.59140625,12.091145833333336,19.465885416666666,24.13489583333333,23.72109375,13.61484375,18.536718749999995,12.808854166666665,15.565625,21.72109375,18.99739583333333,16.999218749999997,20.15234375,16.82864583333333,21.2171875,19.730729166666663,20.87005208333333,22.4171875,16.516927083333332,17.220833333333328,18.628645833333337,18.961979166666666,19.20520833333333,16.349999999999998,12.66953125,20.19140625,17.167968749999996,28.489843749999995,10.44609375,19.38541666666666,17.691145833333334,16.81119791666666,11.179427083333335,16.336197916666666,13.422656250000005,17.06953125,14.757812499999998,17.736197916666658,15.261718749999996,15.996874999999998,23.146354166666654,15.661718749999997,15.157812499999997,19.62864583333333,21.42083333333333,15.617187499999998,15.617187499999998,16.832291666666666,11.750000000000002,13.208854166666663,12.016666666666664,15.18723958333333,21.395572916666666,14.56380208333333,17.091145833333332,16.532552083333332,11.491145833333336,24.460416666666664,24.260416666666668,12.587239583333336,13.883333333333333,11.098958333333336,13.15,14.269531249999996,12.261718749999998,18.805208333333333,14.283333333333331,11.728385416666669,12.291145833333331
mmlu_pro,70.03361406619385,68.72229609929079,66.80149231678487,66.690676713948,50.410017730496456,51.39812352245864,51.3242464539007,57.16976950354611,52.94954196217494,53.25428486997635,51.305777186761226,53.42050827423167,54.27009456264776,54.27009456264776,51.35195035460993,53.3558658392435,54.510195035461,52.05378250591017,52.4785756501182,53.74372044917257,52.40469858156028,51.85062056737589,50.687056737588655,54.83340721040189,51.82291666666666,54.13157505910166,51.915263002364064,51.739804964539005,54.21468676122932,54.62101063829788,48.082890070921984,52.91260342789597,52.45087174940899,52.8017878250591,54.55636820330969,49.20028073286053,46.85468380614657,56.153959810874696,53.13423463356975,48.12906323877069,53.20811170212767,49.37573877068559,49.7266548463357,49.05252659574468,48.72931442080378,49.19104609929077,53.47591607565011,49.49578900709219,49.22798463356975,49.27415780141844,49.46808510638298,50.39154846335697,49.3572695035461,54.95345744680851,46.30060579196218,47.224069148936174,49.5881353427896,48.92324172576833,52.11842494089834,50.21609042553191,48.16600177304965,47.87972813238771,49.51425827423168,52.44163711583924,47.593454491725765,47.93513593380615,49.05252659574468,47.23330378250591,48.4799793144208,47.593454491725765,44.25975177304965,47.54728132387708,46.706929669030735,47.13172281323877,49.61583924349882,48.64620271867612,49.84670508274232,49.64354314420804,47.224069148936174,47.71350472813239,47.75044326241135,44.59219858156028,46.73463356973996,46.36524822695035,47.685800827423165,47.20559988179669,46.39295212765958,45.29403073286053,54.52866430260048,54.61177600472813,42.75450650118203,47.29794621749409,46.74386820330969,44.64760638297872,46.66075650118204,47.759677895981085,50.05910165484633,46.53147163120567,44.6660756501182,48.60002955082743
