benchmark,ifeval,bbh,math,gpqa,musr,mmlu_pro
Apollo-70B,50.9856070781083,53.528405173016914,56.11782477341389,27.628635346756152,23.14635416666665,47.54728132387708
ZYH-LLM-Qwen2.5-14B-V4,83.64605912312663,50.26935344231426,53.92749244712991,8.612975391498878,15.661718749999997,46.706929669030735
NQLSG-Qwen2.5-14B-MegaFus.2,78.74761189200211,49.91009317302106,54.0785498489426,13.534675615212524,15.157812499999997,47.13172281323877
Progenitor-V1.1-LLaMa-70B,69.06064796960952,56.24697023586278,35.725075528700906,27.740492170022367,19.62864583333333,49.61583924349882
70B-L3.3-Cirrus-x1,66.80751517085777,57.13231216638128,37.38670694864049,26.62192393736018,21.42083333333333,48.64620271867612
magnum-v1-72b,76.06484128778308,57.65318485514271,39.80362537764351,18.791946308724835,15.617187499999998,49.84670508274232
magnum-72b-v1,76.06484128778308,57.65318485514271,39.80362537764351,18.791946308724835,15.617187499999998,49.64354314420804
lamarckvergence-14b-tenso,76.03735865281897,50.983494714854295,51.66163141993958,14.76510067114094,16.832291666666666,47.224069148936174
li-14b-v0.4-slerp0.1,79.22722819895654,50.88127296750732,53.32326283987915,14.5413870246085,11.750000000000002,47.71350472813239
miscii-14b-0218,76.55941790006072,50.6445656375432,51.43504531722054,17.785234899328863,13.208854166666663,47.75044326241135
Cheng-2,83.37378156624423,49.97518634878575,54.38066465256798,12.751677852348994,12.016666666666664,44.59219858156028
NQLSG-Qwen2.5-14B-MegaFus.3,78.74761189200211,49.0341381962539,55.58912386706949,11.409395973154364,15.18723958333333,46.73463356973996
Llama3.3-70B-CogniLink,69.31042965996889,52.12466257626164,41.389728096676734,26.062639821029084,21.395572916666666,46.36524822695035
tempesthenno-ppo-ckpt40,79.23221496739761,50.57317166167434,47.35649546827795,17.00223713646532,14.56380208333333,47.685800827423165
RYS-Llama3.1-Large,84.92001223420525,55.41486404819653,35.04531722054381,16.554809843400445,17.091145833333332,47.20559988179669
virtuoso-small-v2-tensopo,84.19061423689145,50.96603012167689,45.2416918429003,12.863534675615217,16.532552083333332,46.39295212765958
Cheng-2-v1.1,82.69934883885867,50.248143037694966,53.92749244712991,12.416107382550338,11.491145833333336,45.29403073286053
